ID_RICHIESTA,DURATA_PRATICA,RICHIESTA_DATA,ESITO_RICHIESTA,CON_PRESCRIZIONI,DEST_Residenziale,DEST_Ufficio,DEST_Commerciale,DEST_Albergo,DEST_Industriale e produttiva,"DEST_Sociali, ricreative, culturali e religiose",DEST_Sanitario,DEST_Istruzione,DEST_Sportivo,DEST_Opere_Urbane,DEST_Impianti,DEST_Altro,NUM_DESTINAZIONI,IN_SANATORIA,INTERVENTO_Realizzazione_opere_ex-novo,INTERVENTO_Ampliamento,INTERVENTO_Demolizione,INTERVENTO_Ricostruzione,INTERVENTO_Ristrutturazione,INTERVENTO_Installazione,INTERVENTO_Cambio_Uso,INTERVENTO_Variante_a_progetto,INTERVENTO_Altro,ENTITA_Altro,ENTITA_Grande,ENTITA_Medio,ENTITA_Piccolo,VINCOLATO_STORICO,VINCOLATO_IDROGEO,lat,lon
180903,168,13/07/2009,Positiv,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44.4696611,11.3915301
268955,172,30/10/2009,Positiv,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,44.4758934,11.3736111
306442,628,16/12/2009,Positiv,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,44.4801753,11.3802955
55610,210,03/03/2010,Positiv,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,44.4733617,11.3847193
56721,222,04/03/2010,Positiv,1,1,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,44.4001693,11.593601
68757,140,18/03/2010,Positiv,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,44.4831883,11.3759718
94802,112,20/04/2010,Positiv,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44.5178029,11.3944213
97854,3248,22/04/2010,Positiv,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,44.4968459,11.3149248
104634,104,28/04/2010,Positiv,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,44.5018854,11.2987412
133222,547,26/05/2010,Positiv,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,44.4961269,11.2926399
